任务ID,任务优先级,任务类型,任务来源,会员ID,会员等级,会员城市,归属门店ID,门店名称,门店城市,店型,门店类型,员工导购ID,员工姓名,岗位,角色标签,人群标签,推荐动作,推荐权益,推荐原因,预计价值,任务生成时间,任务截止时间,任务失效时间,触达状态,触达时间,触达方式,触达后下单,触达后下单金额,任务结果,执行状态,转化阶段
T00000071,P2,外卖转到店,人工指派,M0009789,普卡,成都,S00426,成都购物中心0426店,成都,校园店,学校店,E000301,普通导购0301,普通导购,普通导购,流失,到店专享+堂食套餐,下午茶套餐,外卖高频但近期无到店,42.7,2026-04-06 08:18:39,2026-04-11 08:18:39,2026-04-13 08:18:39,已触达,1775533591000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000072,P0,负评修复,规则生成,M0077465,银卡,西安,S00354,西安写字楼0354店,西安,校园店,学校店,E000314,普通导购0314,普通导购,普通导购,流失,服务补救+客服回访,免费小食券,近期评分 ≤ 2 星,27.75,2026-04-20 09:05:03,2026-04-27 09:05:03,2026-04-27 09:05:03,未触达,,,0,0.0,已失效,已过期,未触达
T00000073,P1,新会员首单,人工指派,M0031124,银卡,青岛,S00806,青岛CBD0806店,青岛,快取店,快取店,E000066,店长0066,店长,店长,流失,发首单券+邀约入群,新人首单 9.9 元拿铁,注册后 7 天未消费,23.45,2026-03-02 07:37:32,2026-03-05 07:37:32,2026-03-09 07:37:32,已触达,1772569498000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000074,P1,新会员首单,规则生成,M0070679,银卡,济南,S00023,济南社区0023店,济南,标准店,社区店,E000042,普通导购0042,普通导购,普通导购,高价值,发首单券+邀约入群,新人首单 9.9 元拿铁,注册后 7 天未消费,23.56,2026-05-01 09:10:41,2026-05-07 09:10:41,2026-05-08 09:10:41,已触达,1777790250000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000075,P1,首单后二单,规则生成,M0051681,黑卡,石家庄,S00525,石家庄购物中心0525店,石家庄,标准店,商场店,E000289,普通导购0289,普通导购,普通导购,沉睡,发二单券+推荐爆款,满 30 减 10,首单 14 天未复购,38.21,2026-04-29 07:20:40,2026-05-02 07:20:40,2026-05-06 07:20:40,已触达,1777453499000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000076,P2,外卖转到店,模型生成,M0003812,普卡,中山,S00232,中山购物中心0232店,中山,标准店,商场店,E000039,普通导购0039,普通导购,普通导购,沉睡,到店专享+堂食套餐,下午茶套餐,外卖高频但近期无到店,57.61,2026-03-03 08:49:25,2026-03-09 08:49:25,2026-03-10 08:49:25,已触达,1772654668000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000077,P2,外卖转到店,人工指派,M0064070,普卡,西安,S01083,西安CBD1083店,西安,标准店,写字楼店,E000123,普通导购0123,普通导购,普通导购,沉睡,到店专享+堂食套餐,下午茶套餐,外卖高频但近期无到店,43.31,2026-03-19 08:00:54,2026-03-21 08:00:54,2026-03-26 08:00:54,已触达,1774089417000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000078,P1,沉睡召回,人工指派,M0023391,普卡,郑州,S00812,郑州社区0812店,郑州,外卖店,外卖卫星店,E000155,金牌导购0155,金牌导购,金牌导购,活跃,强召回权益+低频触达,拉新返券,60 天未消费,34.42,2026-04-13 08:12:48,2026-04-19 08:12:48,2026-04-20 08:12:48,已触达,1776304876000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000079,P1,新会员首单,规则生成,M0047852,银卡,上海,S00199,上海社区0199店,上海,标准店,社区店,E000044,普通导购0044,普通导购,普通导购,新客,发首单券+邀约入群,新人首单 9.9 元拿铁,注册后 7 天未消费,27.99,2026-04-18 09:01:38,2026-04-24 09:01:38,2026-04-25 09:01:38,已触达,1776590245000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000080,P1,沉睡召回,模型生成,M0052807,普卡,广州,S00721,广州购物中心0721店,广州,标准店,商场店,E000398,普通导购0398,普通导购,普通导购,沉睡,强召回权益+低频触达,拉新返券,60 天未消费,43.8,2026-04-19 07:22:50,2026-04-24 07:22:50,2026-04-26 07:22:50,已触达,1776827563000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000081,P1,沉睡召回,规则生成,M0062911,黑卡,苏州,S00451,苏州街边店0451店,苏州,外卖店,外卖卫星店,E000412,普通导购0412,普通导购,普通导购,流失,强召回权益+低频触达,拉新返券,60 天未消费,40.77,2026-03-25 08:53:27,2026-03-30 08:53:27,2026-04-01 08:53:27,已触达,1774638992000000000,短信,0,0.0,已完成-无转化,已完结,已触达未转化
T00000082,P2,外卖转到店,模型生成,M0031582,普卡,沈阳,S00195,沈阳写字楼0195店,沈阳,标准店,写字楼店,E000154,金牌导购0154,金牌导购,金牌导购,新客,到店专享+堂食套餐,下午茶套餐,外卖高频但近期无到店,67.99,2026-03-06 08:37:54,2026-03-12 08:37:54,2026-03-13 08:37:54,已触达,1772815253000000000,企微1V1,1,92.52,已完成-有转化,已完结,有转化
T00000083,P1,首单后二单,规则生成,M0052955,银卡,南昌,S00998,南昌社区0998店,南昌,外卖店,外卖卫星店,E000023,金牌导购0023,金牌导购,金牌导购,新客,发二单券+推荐爆款,满 30 减 10,首单 14 天未复购,38.64,2026-03-11 08:45:13,2026-03-13 08:45:13,2026-03-18 08:45:13,已触达,1773339321000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000084,P2,高价值维护,规则生成,M0025623,普卡,南京,S01036,南京社区1036店,南京,外卖店,外卖卫星店,E000082,普通导购0082,普通导购,普通导购,流失,专属权益+会员日邀约,黑卡尊享 6 折,RFM 重要价值客户维系,69.31,2026-05-20 08:29:17,2026-05-24 08:29:17,2026-05-27 08:29:17,已触达,1779290262000000000,企微1V1,1,82.0,已完成-有转化,已完结,有转化
T00000085,P2,高价值维护,规则生成,M0049341,普卡,合肥,S00320,合肥社区0320店,合肥,快取店,快取店,E000219,金牌导购0219,金牌导购,金牌导购,活跃,专属权益+会员日邀约,黑卡尊享 6 折,RFM 重要价值客户维系,78.18,2026-03-26 07:56:42,2026-03-28 07:56:42,2026-04-02 07:56:42,未触达,,,0,0.0,已失效,已过期,未触达
T00000086,P2,堂食老客召回,规则生成,M0059014,黑卡,重庆,S01119,重庆购物中心1119店,重庆,外卖店,外卖卫星店,E000071,金牌导购0071,金牌导购,金牌导购,高价值,新品邀请+同行福利,新品体验 5 折,曾高频到店近期无到店,53.98,2026-03-08 09:22:27,2026-03-13 09:22:27,2026-03-15 09:22:27,未触达,,,0,0.0,已失效,已过期,未触达
T00000087,P1,沉睡召回,规则生成,M0061621,普卡,嘉兴,S01059,嘉兴社区1059店,嘉兴,校园店,学校店,E000494,金牌导购0494,金牌导购,金牌导购,活跃,强召回权益+低频触达,拉新返券,60 天未消费,43.51,2026-05-02 09:01:47,2026-05-09 09:01:47,2026-05-09 09:01:47,已触达,1777925143000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000088,P1,首单后二单,模型生成,M0032543,银卡,深圳,S01020,深圳购物中心1020店,深圳,快取店,快取店,E000070,金牌导购0070,金牌导购,金牌导购,新客,发二单券+推荐爆款,满 30 减 10,首单 14 天未复购,42.56,2026-03-01 09:24:31,2026-03-04 09:24:31,2026-03-08 09:24:31,未触达,,,0,0.0,已失效,已过期,未触达
T00000089,P0,负评修复,规则生成,M0031114,普卡,沈阳,S00332,沈阳社区0332店,沈阳,标准店,社区店,E000462,普通导购0462,普通导购,普通导购,新客,服务补救+客服回访,免费小食券,近期评分 ≤ 2 星,28.82,2026-03-22 07:23:27,2026-03-26 07:23:27,2026-03-29 07:23:27,已触达,1774220412000000000,电话,0,0.0,已完成-无转化,已完结,已触达未转化
T00000090,P1,新会员首单,规则生成,M0070939,普卡,长沙,S01029,长沙写字楼1029店,长沙,标准店,写字楼店,E000314,普通导购0314,普通导购,普通导购,活跃,发首单券+邀约入群,新人首单 9.9 元拿铁,注册后 7 天未消费,42.51,2026-04-02 09:08:01,2026-04-07 09:08:01,2026-04-09 09:08:01,未触达,,,0,0.0,已失效,已过期,未触达
T00000091,P0,流失预警,规则生成,M0065428,金卡,天津,S01114,天津街边店1114店,天津,快取店,快取店,E000435,普通导购0435,普通导购,普通导购,高价值,电话回访+召回券,沉睡唤醒 9 折,消费间隔接近流失阈值,56.09,2026-04-21 09:44:35,2026-04-24 09:44:35,2026-04-28 09:44:35,已触达,1776861586000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000092,P2,外卖转到店,模型生成,M0052079,银卡,杭州,S01041,杭州购物中心1041店,杭州,标准店,商场店,E000261,普通导购0261,普通导购,普通导购,活跃,到店专享+堂食套餐,下午茶套餐,外卖高频但近期无到店,44.44,2026-03-03 07:41:09,2026-03-07 07:41:09,2026-03-10 07:41:09,未触达,,,0,0.0,已失效,已过期,未触达
T00000093,P1,首单后二单,规则生成,M0074251,银卡,广州,S00762,广州交通枢纽0762店,广州,标准店,交通店,E000292,普通导购0292,普通导购,普通导购,新客,发二单券+推荐爆款,满 30 减 10,首单 14 天未复购,23.13,2026-04-05 08:47:12,2026-04-12 08:47:12,2026-04-12 08:47:12,未触达,,,0,0.0,已失效,已过期,未触达
T00000094,P1,沉睡召回,规则生成,M0024125,金卡,石家庄,S00692,石家庄购物中心0692店,石家庄,外卖店,外卖卫星店,E000113,店长0113,店长,店长,流失,强召回权益+低频触达,拉新返券,60 天未消费,53.63,2026-03-31 09:03:07,2026-04-04 09:03:07,2026-04-07 09:03:07,未触达,,,0,0.0,已失效,已过期,未触达
T00000095,P0,流失预警,规则生成,M0027554,银卡,乌鲁木齐,S00845,乌鲁木齐购物中心0845店,乌鲁木齐,快取店,快取店,E000071,金牌导购0071,金牌导购,金牌导购,高价值,电话回访+召回券,沉睡唤醒 9 折,消费间隔接近流失阈值,60.13,2026-04-30 08:51:54,2026-05-03 08:51:54,2026-05-07 08:51:54,已触达,1777750819000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000096,P0,负评修复,规则生成,M0057393,银卡,武汉,S00477,武汉购物中心0477店,武汉,外卖店,外卖卫星店,E000027,普通导购0027,普通导购,普通导购,新客,服务补救+客服回访,免费小食券,近期评分 ≤ 2 星,27.04,2026-03-20 08:38:41,2026-03-24 08:38:41,2026-03-27 08:38:41,未触达,,,0,0.0,已失效,已过期,未触达
T00000097,P1,沉睡召回,规则生成,M0056910,普卡,洛阳,S00786,洛阳校园0786店,洛阳,标准店,学校店,E000494,金牌导购0494,金牌导购,金牌导购,新客,强召回权益+低频触达,拉新返券,60 天未消费,46.74,2026-04-22 09:46:34,2026-04-27 09:46:34,2026-04-29 09:46:34,已触达,1776895240000000000,电话,0,0.0,已完成-无转化,已完结,已触达未转化
T00000098,P0,流失预警,规则生成,M0064432,普卡,温州,S00540,温州社区0540店,温州,外卖店,外卖卫星店,E000339,金牌导购0339,金牌导购,金牌导购,新客,电话回访+召回券,沉睡唤醒 9 折,消费间隔接近流失阈值,47.84,2026-05-13 09:32:51,2026-05-16 09:32:51,2026-05-20 09:32:51,已触达,1778923638000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000099,P1,新会员首单,人工指派,M0027661,普卡,宜昌,S00276,宜昌CBD0276店,宜昌,标准店,写字楼店,E000496,金牌导购0496,金牌导购,金牌导购,新客,发首单券+邀约入群,新人首单 9.9 元拿铁,注册后 7 天未消费,27.15,2026-03-01 08:19:07,2026-03-08 08:19:07,2026-03-08 08:19:07,已触达,1772365563000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000100,P2,外卖转到店,规则生成,M0002867,普卡,郑州,S00709,郑州购物中心0709店,郑州,标准店,商场店,E000503,普通导购0503,普通导购,普通导购,流失,到店专享+堂食套餐,下午茶套餐,外卖高频但近期无到店,37.89,2026-04-02 07:15:11,2026-04-09 07:15:11,2026-04-09 07:15:11,已触达,1775333966000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000101,P1,首单后二单,规则生成,M0042619,普卡,福州,S01033,福州写字楼1033店,福州,快取店,快取店,E000090,普通导购0090,普通导购,普通导购,活跃,发二单券+推荐爆款,满 30 减 10,首单 14 天未复购,45.04,2026-02-22 07:14:59,2026-02-28 07:14:59,2026-03-01 07:14:59,已触达,1771811110000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000102,P1,首单后二单,规则生成,M0002134,金卡,杭州,S00417,杭州购物中心0417店,杭州,外卖店,外卖卫星店,E000566,普通导购0566,普通导购,普通导购,流失,发二单券+推荐爆款,满 30 减 10,首单 14 天未复购,37.5,2026-03-22 09:32:00,2026-03-29 09:32:00,2026-03-29 09:32:00,已触达,1774292541000000000,社群,0,0.0,已完成-无转化,已完结,已触达未转化
T00000103,P2,外卖转到店,人工指派,M0031492,普卡,苏州,S00389,苏州校园0389店,苏州,快取店,快取店,E000346,金牌导购0346,金牌导购,金牌导购,流失,到店专享+堂食套餐,下午茶套餐,外卖高频但近期无到店,46.4,2026-03-04 07:59:24,2026-03-06 07:59:24,2026-03-11 07:59:24,已触达,1772847675000000000,企微1V1,1,41.16,已完成-有转化,已完结,有转化
T00000104,P1,沉睡召回,规则生成,M0067309,普卡,常州,S01100,常州购物中心1100店,常州,标准店,商场店,E000149,新人导购0149,新人导购,新人导购,新客,强召回权益+低频触达,拉新返券,60 天未消费,48.94,2026-03-31 08:00:30,2026-04-07 08:00:30,2026-04-07 08:00:30,已触达,1775003475000000000,短信,0,0.0,已完成-无转化,已完结,已触达未转化
T00000105,P2,外卖转到店,规则生成,M0044366,黑卡,无锡,S00251,无锡社区0251店,无锡,快取店,快取店,E000159,普通导购0159,普通导购,普通导购,沉睡,到店专享+堂食套餐,下午茶套餐,外卖高频但近期无到店,52.14,2026-04-13 08:09:21,2026-04-18 08:09:21,2026-04-20 08:09:21,未触达,,,0,0.0,已失效,已过期,未触达
T00000106,P1,沉睡召回,规则生成,M0023192,银卡,太原,S01080,太原交通枢纽1080店,太原,外卖店,外卖卫星店,E000170,普通导购0170,普通导购,普通导购,新客,强召回权益+低频触达,拉新返券,60 天未消费,38.84,2026-03-30 07:26:33,2026-04-06 07:26:33,2026-04-06 07:26:33,已触达,1774919623000000000,电话,0,0.0,已完成-无转化,已完结,已触达未转化
T00000107,P1,沉睡召回,规则生成,M0074863,银卡,宁波,S00465,宁波CBD0465店,宁波,标准店,写字楼店,E000389,普通导购0389,普通导购,普通导购,沉睡,强召回权益+低频触达,拉新返券,60 天未消费,48.66,2026-04-02 07:11:06,2026-04-09 07:11:06,2026-04-09 07:11:06,已触达,1775335635000000000,社群,0,0.0,已完成-无转化,已完结,已触达未转化
T00000108,P1,首单后二单,模型生成,M0064858,普卡,上海,S00769,上海CBD0769店,上海,快取店,快取店,E000497,普通导购0497,普通导购,普通导购,流失,发二单券+推荐爆款,满 30 减 10,首单 14 天未复购,46.2,2026-03-08 09:33:51,2026-03-14 09:33:51,2026-03-15 09:33:51,未触达,,,0,0.0,已失效,已过期,未触达
T00000109,P1,沉睡召回,规则生成,M0062978,金卡,石家庄,S00730,石家庄购物中心0730店,石家庄,标准店,商场店,E000586,普通导购0586,普通导购,普通导购,新客,强召回权益+低频触达,拉新返券,60 天未消费,41.24,2026-03-08 08:43:34,2026-03-11 08:43:34,2026-03-15 08:43:34,已触达,1773030634000000000,短信,0,0.0,已完成-无转化,已完结,已触达未转化
T00000110,P2,堂食老客召回,模型生成,M0027673,银卡,南昌,S00561,南昌购物中心0561店,南昌,外卖店,外卖卫星店,E000266,普通导购0266,普通导购,普通导购,流失,新品邀请+同行福利,新品体验 5 折,曾高频到店近期无到店,61.62,2026-03-24 09:01:16,2026-03-29 09:01:16,2026-03-31 09:01:16,已触达,1774534745000000000,企微1V1,1,59.97,已完成-有转化,已完结,有转化
T00000111,P0,流失预警,人工指派,M0006777,普卡,乌鲁木齐,S00171,乌鲁木齐CBD0171店,乌鲁木齐,外卖店,外卖卫星店,E000073,普通导购0073,普通导购,普通导购,活跃,电话回访+召回券,沉睡唤醒 9 折,消费间隔接近流失阈值,73.97,2026-03-09 09:36:58,2026-03-13 09:36:58,2026-03-16 09:36:58,已触达,1773174753000000000,电话,1,86.59,已完成-有转化,已完结,有转化
T00000112,P1,沉睡召回,模型生成,M0056228,普卡,东莞,S00028,东莞社区0028店,东莞,校园店,学校店,E000496,金牌导购0496,金牌导购,金牌导购,流失,强召回权益+低频触达,拉新返券,60 天未消费,45.95,2026-04-25 08:36:59,2026-04-28 08:36:59,2026-05-02 08:36:59,未触达,,,0,0.0,已失效,已过期,未触达
T00000113,P0,负评修复,规则生成,M0023305,普卡,沈阳,S00866,沈阳购物中心0866店,沈阳,标准店,商场店,E000380,普通导购0380,普通导购,普通导购,活跃,服务补救+客服回访,免费小食券,近期评分 ≤ 2 星,30.98,2026-03-20 09:12:07,2026-03-23 09:12:07,2026-03-27 09:12:07,未触达,,,0,0.0,已失效,已过期,未触达
T00000114,P0,流失预警,人工指派,M0045349,普卡,南通,S00738,南通社区0738店,南通,外卖店,外卖卫星店,E000036,普通导购0036,普通导购,普通导购,沉睡,电话回访+召回券,沉睡唤醒 9 折,消费间隔接近流失阈值,71.37,2026-04-04 09:02:25,2026-04-08 09:02:25,2026-04-11 09:02:25,已触达,1775338863000000000,电话,0,0.0,已完成-无转化,已完结,已触达未转化
T00000115,P1,首单后二单,规则生成,M0034668,银卡,广州,S00831,广州购物中心0831店,广州,标准店,商场店,E000134,金牌导购0134,金牌导购,金牌导购,流失,发二单券+推荐爆款,满 30 减 10,首单 14 天未复购,29.57,2026-05-20 08:50:20,2026-05-27 08:50:20,2026-05-27 08:50:20,未触达,,,0,0.0,进行中,进行中,未触达
T00000116,P1,新会员首单,规则生成,M0045555,普卡,佛山,S00221,佛山购物中心0221店,佛山,快取店,快取店,E000262,金牌导购0262,金牌导购,金牌导购,新客,发首单券+邀约入群,新人首单 9.9 元拿铁,注册后 7 天未消费,25.67,2026-05-06 07:00:15,2026-05-13 07:00:15,2026-05-13 07:00:15,已触达,1778221668000000000,社群,0,0.0,已完成-无转化,已完结,已触达未转化
T00000117,P2,堂食老客召回,人工指派,M0020011,普卡,上海,S00562,上海购物中心0562店,上海,旗舰店,旗舰店,E000457,金牌导购0457,金牌导购,金牌导购,活跃,新品邀请+同行福利,新品体验 5 折,曾高频到店近期无到店,56.99,2026-04-15 07:34:06,2026-04-22 07:34:06,2026-04-22 07:34:06,已触达,1776446471000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000118,P0,流失预警,人工指派,M0038684,普卡,苏州,S00919,苏州购物中心0919店,苏州,标准店,商场店,E000149,新人导购0149,新人导购,新人导购,流失,电话回访+召回券,沉睡唤醒 9 折,消费间隔接近流失阈值,75.91,2026-05-15 07:33:23,2026-05-21 07:33:23,2026-05-22 07:33:23,已触达,1778939138000000000,社群,0,0.0,已完成-无转化,已完结,已触达未转化
T00000119,P2,高价值维护,规则生成,M0010636,银卡,长沙,S00885,长沙校园0885店,长沙,校园店,学校店,E000289,普通导购0289,普通导购,普通导购,活跃,专属权益+会员日邀约,黑卡尊享 6 折,RFM 重要价值客户维系,95.21,2026-04-11 07:48:20,2026-04-18 07:48:20,2026-04-18 07:48:20,未触达,,,0,0.0,已失效,已过期,未触达
T00000120,P1,首单后二单,规则生成,M0070156,普卡,南京,S00987,南京写字楼0987店,南京,快取店,快取店,E000085,普通导购0085,普通导购,普通导购,沉睡,发二单券+推荐爆款,满 30 减 10,首单 14 天未复购,41.14,2026-04-15 07:43:02,2026-04-22 07:43:02,2026-04-22 07:43:02,已触达,1776331077000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000121,P1,新会员首单,规则生成,M0042362,普卡,杭州,S01097,杭州购物中心1097店,杭州,旗舰店,旗舰店,E000074,金牌导购0074,金牌导购,金牌导购,新客,发首单券+邀约入群,新人首单 9.9 元拿铁,注册后 7 天未消费,37.01,2026-03-21 07:10:19,2026-03-24 07:10:19,2026-03-28 07:10:19,已触达,1774167265000000000,短信,0,0.0,已完成-无转化,已完结,已触达未转化
T00000122,P1,沉睡召回,模型生成,M0017974,银卡,乌鲁木齐,S01091,乌鲁木齐CBD1091店,乌鲁木齐,标准店,写字楼店,E000233,店长0233,店长,店长,活跃,强召回权益+低频触达,拉新返券,60 天未消费,28.03,2026-03-05 08:24:29,2026-03-08 08:24:29,2026-03-12 08:24:29,已触达,1772827077000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000123,P0,流失预警,模型生成,M0026737,普卡,海口,S01047,海口街边店1047店,海口,标准店,社区店,E000227,金牌导购0227,金牌导购,金牌导购,流失,电话回访+召回券,沉睡唤醒 9 折,消费间隔接近流失阈值,55.41,2026-03-04 08:26:20,2026-03-08 08:26:20,2026-03-11 08:26:20,已触达,1772821917000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000124,P1,首单后二单,模型生成,M0061886,银卡,深圳,S00563,深圳购物中心0563店,深圳,外卖店,外卖卫星店,E000134,金牌导购0134,金牌导购,金牌导购,高价值,发二单券+推荐爆款,满 30 减 10,首单 14 天未复购,43.85,2026-05-13 08:02:59,2026-05-15 08:02:59,2026-05-20 08:02:59,未触达,,,0,0.0,进行中,已过期,未触达
T00000125,P2,高价值维护,模型生成,M0002992,普卡,嘉兴,S00890,嘉兴街边店0890店,嘉兴,快取店,快取店,E000401,普通导购0401,普通导购,普通导购,高价值,专属权益+会员日邀约,黑卡尊享 6 折,RFM 重要价值客户维系,93.65,2026-04-01 07:35:58,2026-04-07 07:35:58,2026-04-08 07:35:58,已触达,1775272838000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000126,P2,堂食老客召回,规则生成,M0017899,普卡,泉州,S00541,泉州CBD0541店,泉州,外卖店,外卖卫星店,E000148,普通导购0148,普通导购,普通导购,流失,新品邀请+同行福利,新品体验 5 折,曾高频到店近期无到店,60.51,2026-04-28 07:16:27,2026-04-30 07:16:27,2026-05-05 07:16:27,已触达,1777599424000000000,电话,0,0.0,已完成-无转化,已完结,已触达未转化
T00000127,P1,新会员首单,模型生成,M0073388,普卡,苏州,S00224,苏州社区0224店,苏州,校园店,学校店,E000015,普通导购0015,普通导购,普通导购,流失,发首单券+邀约入群,新人首单 9.9 元拿铁,注册后 7 天未消费,37.41,2026-05-03 07:32:34,2026-05-09 07:32:34,2026-05-10 07:32:34,已触达,1777881370000000000,企微1V1,1,39.04,已完成-有转化,已完结,有转化
T00000128,P1,沉睡召回,规则生成,M0034179,银卡,上海,S00491,上海CBD0491店,上海,快取店,快取店,E000091,金牌导购0091,金牌导购,金牌导购,活跃,强召回权益+低频触达,拉新返券,60 天未消费,43.29,2026-05-12 08:07:05,2026-05-18 08:07:05,2026-05-19 08:07:05,已触达,1778814863000000000,社群,1,47.45,已完成-有转化,已完结,有转化
T00000129,P1,首单后二单,模型生成,M0076643,普卡,青岛,S00660,青岛社区0660店,青岛,外卖店,外卖卫星店,E000043,普通导购0043,普通导购,普通导购,新客,发二单券+推荐爆款,满 30 减 10,首单 14 天未复购,34.98,2026-05-18 08:44:56,2026-05-23 08:44:56,2026-05-25 08:44:56,已触达,1779268004000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000130,P2,外卖转到店,规则生成,M0010350,普卡,北京,S00571,北京购物中心0571店,北京,标准店,商场店,E000549,普通导购0549,普通导购,普通导购,活跃,到店专享+堂食套餐,下午茶套餐,外卖高频但近期无到店,44.91,2026-04-18 07:08:20,2026-04-20 07:08:20,2026-04-25 07:08:20,未触达,,,0,0.0,已失效,已过期,未触达
T00000131,P1,首单后二单,模型生成,M0022819,银卡,沈阳,S00993,沈阳社区0993店,沈阳,外卖店,外卖卫星店,E000169,金牌导购0169,金牌导购,金牌导购,新客,发二单券+推荐爆款,满 30 减 10,首单 14 天未复购,24.64,2026-02-20 07:52:40,2026-02-27 07:52:40,2026-02-27 07:52:40,已触达,1771787047000000000,企微1V1,1,26.35,已完成-有转化,已完结,有转化
T00000132,P1,新会员首单,规则生成,M0005031,普卡,天津,S00431,天津购物中心0431店,天津,快取店,快取店,E000573,普通导购0573,普通导购,普通导购,高价值,发首单券+邀约入群,新人首单 9.9 元拿铁,注册后 7 天未消费,30.56,2026-04-13 09:09:56,2026-04-18 09:09:56,2026-04-20 09:09:56,已触达,1776179579000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000133,P1,首单后二单,模型生成,M0068622,黑卡,深圳,S01109,深圳写字楼1109店,深圳,外卖店,外卖卫星店,E000598,金牌导购0598,金牌导购,金牌导购,沉睡,发二单券+推荐爆款,满 30 减 10,首单 14 天未复购,33.07,2026-04-20 07:25:48,2026-04-24 07:25:48,2026-04-27 07:25:48,未触达,,,0,0.0,已失效,已过期,未触达
T00000134,P0,流失预警,模型生成,M0065946,普卡,重庆,S00252,重庆写字楼0252店,重庆,旗舰店,旗舰店,E000501,普通导购0501,普通导购,普通导购,流失,电话回访+召回券,沉睡唤醒 9 折,消费间隔接近流失阈值,71.4,2026-04-09 09:19:08,2026-04-11 09:19:08,2026-04-16 09:19:08,已触达,1775821562000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000135,P2,领券未核销,规则生成,M0066791,金卡,沈阳,S01045,沈阳CBD1045店,沈阳,快取店,快取店,E000101,新人导购0101,新人导购,新人导购,高价值,到期提醒+门店引导,原券提醒,领券 5 天未核销,31.92,2026-04-05 07:03:55,2026-04-11 07:03:55,2026-04-12 07:03:55,未触达,,,0,0.0,已失效,已过期,未触达
T00000136,P2,高价值维护,规则生成,M0037435,黑卡,武汉,S00019,武汉校园0019店,武汉,快取店,快取店,E000408,金牌导购0408,金牌导购,金牌导购,高价值,专属权益+会员日邀约,黑卡尊享 6 折,RFM 重要价值客户维系,113.17,2026-04-09 07:35:09,2026-04-14 07:35:09,2026-04-16 07:35:09,已触达,1775919463000000000,电话,0,0.0,已完成-无转化,已完结,已触达未转化
T00000137,P1,首单后二单,规则生成,M0041185,银卡,温州,S00687,温州购物中心0687店,温州,标准店,商场店,E000274,普通导购0274,普通导购,普通导购,流失,发二单券+推荐爆款,满 30 减 10,首单 14 天未复购,31.26,2026-04-14 08:35:51,2026-04-21 08:35:51,2026-04-21 08:35:51,已触达,1776351794000000000,社群,0,0.0,已完成-无转化,已完结,已触达未转化
T00000138,P0,流失预警,规则生成,M0059978,普卡,呼和浩特,S00783,呼和浩特写字楼0783店,呼和浩特,快取店,快取店,E000451,普通导购0451,普通导购,普通导购,流失,电话回访+召回券,沉睡唤醒 9 折,消费间隔接近流失阈值,79.65,2026-02-20 08:49:57,2026-02-26 08:49:57,2026-02-27 08:49:57,已触达,1771824570000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000139,P2,领券未核销,规则生成,M0000790,银卡,哈尔滨,S00211,哈尔滨社区0211店,哈尔滨,快取店,快取店,E000168,普通导购0168,普通导购,普通导购,新客,到期提醒+门店引导,原券提醒,领券 5 天未核销,30.88,2026-03-27 09:15:44,2026-03-29 09:15:44,2026-04-03 09:15:44,已触达,1774723650000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000140,P2,外卖转到店,模型生成,M0057026,银卡,大连,S00673,大连CBD0673店,大连,外卖店,外卖卫星店,E000558,普通导购0558,普通导购,普通导购,沉睡,到店专享+堂食套餐,下午茶套餐,外卖高频但近期无到店,41.29,2026-03-13 08:41:00,2026-03-16 08:41:00,2026-03-20 08:41:00,已触达,1773512172000000000,短信,1,51.8,已完成-有转化,已完结,有转化
