订单ID,门店ID,会员ID,顾客识别键,身份匹配置信度,下单时间,业务日期,原价金额,折扣金额,实付金额,收入口径金额,支付方式,销售渠道,履约方式,是否到店,订单状态,是否用券,是否会员首单,商品件数
O2026031500991420,S00883,,GKeff5887abf3c,0.0,2026-03-15 12:24:00,2026-03-15,66.0,0.0,66.0,59.4,会员卡,外卖-美团,外卖配送,0,已完成,0,0,2
O2026031500991421,S00883,,GK801992f238f7,0.0,2026-03-15 21:58:00,2026-03-15,26.0,0.0,26.0,26.0,会员卡,堂食,堂食,1,已完成,0,0,1
O2026031500991422,S00883,,GK12866a9baeb6,0.0,2026-03-15 09:32:00,2026-03-15,47.0,0.0,47.0,47.0,微信,堂食,堂食,1,已完成,0,0,2
O2026031500991423,S00883,M0002237,M0002237,1.0,2026-03-15 20:38:00,2026-03-15,32.0,0.0,32.0,32.0,抖音,堂食,堂食,1,已完成,0,0,1
O2026031500991424,S00883,,GKdbf7c56f7b71,0.0,2026-03-15 20:06:00,2026-03-15,30.0,0.0,30.0,27.0,支付宝,外卖-美团,外卖配送,0,已完成,0,0,1
O2026031500991425,S00883,M0052001,M0052001,1.0,2026-03-15 12:13:00,2026-03-15,96.0,0.0,96.0,96.0,微信,堂食,堂食,1,已完成,0,0,2
O2026031500991426,S00883,M0013295,M0013295,1.0,2026-03-15 16:07:00,2026-03-15,36.0,0.0,36.0,32.4,支付宝,外卖-美团,外卖配送,0,已完成,0,1,1
O2026031500991427,S00883,M0010191,M0010191,1.0,2026-03-15 14:02:00,2026-03-15,88.0,0.0,88.0,79.2,微信,外卖-自有App,外卖配送,0,已完成,0,0,2
O2026031500991428,S00883,,GK762ce25aa6d0,0.0,2026-03-15 10:41:00,2026-03-15,24.0,0.0,24.0,21.6,支付宝,外卖-美团,外卖配送,0,已完成,0,0,1
O2026031500991429,S00883,M0043965,M0043965,1.0,2026-03-15 12:42:00,2026-03-15,56.0,0.0,56.0,56.0,会员卡,堂食,堂食,1,已完成,0,0,2
O2026031500991430,S00883,,GK513bf851e8d3,0.0,2026-03-15 12:57:00,2026-03-15,86.0,0.0,86.0,86.0,微信,外带,外带,1,已完成,0,0,2
O2026031500991431,S00883,M0078227,M0078227,1.0,2026-03-15 11:59:00,2026-03-15,26.0,0.0,26.0,26.0,支付宝,外带,外带,1,已完成,0,0,1
O2026031500991432,S00883,,GK4417e2875224,0.0,2026-03-15 09:23:00,2026-03-15,104.0,0.0,104.0,93.6,微信,外卖-饿了么,外卖配送,0,已退款,0,0,3
O2026031500991433,S00883,,GKcf38d67ba6fe,0.0,2026-03-15 14:14:00,2026-03-15,86.0,0.0,86.0,86.0,微信,堂食,堂食,1,已完成,0,0,3
O2026031500991434,S00883,,GK3ea6bcc9c7b0,0.0,2026-03-15 17:50:00,2026-03-15,90.0,0.0,90.0,90.0,抖音,堂食,堂食,1,已完成,0,0,3
O2026031500991435,S00883,M0001386,M0001386,1.0,2026-03-15 19:29:00,2026-03-15,52.0,0.0,52.0,52.0,微信,堂食,堂食,1,已完成,0,0,1
O2026031600991436,S00883,M0043322,M0043322,1.0,2026-03-16 13:14:00,2026-03-16,15.0,0.0,15.0,15.0,会员卡,堂食,堂食,1,已完成,0,0,1
O2026031600991437,S00883,M0001635,M0001635,1.0,2026-03-16 16:38:00,2026-03-16,50.0,0.0,50.0,50.0,微信,堂食,堂食,1,已完成,0,0,2
O2026031600991438,S00883,M0033937,M0033937,1.0,2026-03-16 17:06:00,2026-03-16,92.0,0.0,92.0,92.0,微信,堂食,堂食,1,已完成,0,0,3
O2026031600991439,S00883,,GK13c7b453c118,0.0,2026-03-16 10:09:00,2026-03-16,78.0,0.0,78.0,78.0,微信,堂食,堂食,1,已完成,0,0,3
O2026031600991440,S00883,M0062556,M0062556,1.0,2026-03-16 09:30:00,2026-03-16,92.0,0.0,92.0,92.0,支付宝,到店自提,到店自提,1,已完成,0,0,3
O2026031600991441,S00883,,GKb8312ea61851,0.0,2026-03-16 19:27:00,2026-03-16,68.0,0.0,68.0,61.2,微信,外卖-美团,外卖配送,0,已完成,0,0,3
O2026031600991442,S00883,,GK1486d3e643c7,0.0,2026-03-16 15:47:00,2026-03-16,46.0,0.0,46.0,46.0,微信,到店自提,到店自提,1,已完成,0,0,2
O2026031600991443,S00883,,GKfbfa6b94bc3a,0.0,2026-03-16 16:21:00,2026-03-16,64.0,0.0,64.0,57.6,微信,外卖-美团,外卖配送,0,已完成,0,0,3
O2026031600991444,S00883,M0059646,M0059646,1.0,2026-03-16 14:29:00,2026-03-16,56.0,0.0,56.0,56.0,微信,外带,外带,1,已完成,0,0,2
O2026031600991445,S00883,,GK3089662a1f6f,0.0,2026-03-16 09:40:00,2026-03-16,62.0,0.0,62.0,62.0,美团,堂食,堂食,1,已完成,0,0,2
O2026031600991446,S00883,,GK0d9ce47f1987,0.0,2026-03-16 08:21:00,2026-03-16,32.0,0.0,32.0,32.0,微信,堂食,堂食,1,已完成,0,0,1
O2026031600991447,S00883,M0038383,M0038383,1.0,2026-03-16 22:29:00,2026-03-16,138.0,42.4,95.6,95.6,微信,外带,外带,1,已完成,1,0,3
O2026031600991448,S00883,,GKe393c74561e1,0.0,2026-03-16 10:51:00,2026-03-16,82.0,0.0,82.0,82.0,微信,堂食,堂食,1,已完成,0,0,3
O2026031600991449,S00883,,GKc6f3a9c3b9bf,0.0,2026-03-16 21:52:00,2026-03-16,90.0,0.0,90.0,90.0,微信,外带,外带,1,已完成,0,0,2
O2026031700991450,S00883,M0075513,M0075513,1.0,2026-03-17 16:55:00,2026-03-17,52.0,0.0,52.0,52.0,微信,到店自提,到店自提,1,已完成,0,0,2
O2026031700991451,S00883,,GK2c57f24bb8a9,0.0,2026-03-17 09:16:00,2026-03-17,58.0,0.0,58.0,58.0,支付宝,到店自提,到店自提,1,已完成,0,0,2
O2026031700991452,S00883,,GK39dd2724d116,0.0,2026-03-17 09:51:00,2026-03-17,48.0,8.45,39.55,35.6,支付宝,外卖-饿了么,外卖配送,0,已完成,1,0,2
O2026031700991453,S00883,M0058541,M0058541,1.0,2026-03-17 11:17:00,2026-03-17,52.0,0.0,52.0,46.8,微信,外卖-自有App,外卖配送,0,已完成,0,0,2
O2026031700991454,S00883,,GK16147ca505ca,0.0,2026-03-17 17:21:00,2026-03-17,48.0,0.0,48.0,43.2,微信,外卖-美团,外卖配送,0,已完成,0,0,1
O2026031700991455,S00883,,GK3f04c0637d6e,0.0,2026-03-17 07:49:00,2026-03-17,68.0,0.0,68.0,68.0,微信,外带,外带,1,已完成,0,0,1
O2026031700991456,S00883,M0013503,M0013503,1.0,2026-03-17 09:43:00,2026-03-17,64.0,21.06,42.94,38.65,微信,外卖-美团,外卖配送,0,已完成,1,0,1
O2026031700991457,S00883,,GK1625bf23c315,0.0,2026-03-17 20:10:00,2026-03-17,26.0,0.0,26.0,26.0,微信,外带,外带,1,已完成,0,0,1
O2026031700991458,S00883,,GK932452dea4ca,0.0,2026-03-17 15:23:00,2026-03-17,74.0,0.0,74.0,74.0,饿了么,堂食,堂食,1,已完成,0,0,2
O2026031700991459,S00883,,GK1adcd6def32f,0.0,2026-03-17 08:18:00,2026-03-17,64.0,0.0,64.0,57.6,微信,外卖-饿了么,外卖配送,0,已完成,0,0,2
O2026031700991460,S00883,M0017949,M0017949,1.0,2026-03-17 16:29:00,2026-03-17,76.0,0.0,76.0,76.0,会员卡,团购到店,团购到店,1,已完成,0,0,3
O2026031700991461,S00883,,GK68d09382b6ab,0.0,2026-03-17 10:08:00,2026-03-17,22.0,0.0,22.0,22.0,支付宝,堂食,堂食,1,已完成,0,0,1
O2026031700991462,S00883,M0056183,M0056183,1.0,2026-03-17 12:33:00,2026-03-17,28.0,2.88,25.12,22.61,会员卡,外卖-美团,外卖配送,0,已完成,1,0,1
O2026031700991463,S00883,,GK53f6a433ec79,0.0,2026-03-17 15:56:00,2026-03-17,56.0,0.0,56.0,56.0,微信,堂食,堂食,1,已完成,0,0,2
O2026031700991464,S00883,M0011298,M0011298,1.0,2026-03-17 16:45:00,2026-03-17,78.0,0.0,78.0,70.2,会员卡,外卖-自有App,外卖配送,0,已完成,0,0,3
