门店类型,月份,成本科目ID,成本科目名称,成本大类,门店数,成本总额,营收总额,平均占比,中位数占比,P90占比,最低占比,最高占比,科目营收占比,离散度,P90vsP50差异
夜市店,2026-04-01,CST_PLAT,平台抽佣,变动成本,9,16851.25,261883.32000000004,0.063444444444444,0.0665,0.0868,0.0406,0.0868,0.064346404345263,0.0462,0.0203
夜市店,2026-04-01,CST_RAW,原材料成本,变动成本,9,100657.47,261883.32000000004,0.383511111111111,0.3814,0.4128,0.3545,0.4128,0.384359989021065,0.0583,0.0314
夜市店,2026-04-01,CST_RENT,房租物业,固定成本,9,22111.129999999997,261883.32000000004,0.085633333333333,0.0829,0.1199,0.0648,0.1199,0.084431226853241,0.0551,0.037
夜市店,2026-04-01,CST_UTL,能耗水电气,半固定成本,9,9425.22,261883.32000000004,0.035722222222222,0.0381,0.0453,0.0233,0.0453,0.035990150117235,0.022,0.0072
夜市店,2026-05-01,CST_DEP,设备折旧摊销,固定成本,9,4528.6,190847.15,0.0235,0.0218,0.03,0.02,0.03,0.023728937005347,0.01,0.0082
夜市店,2026-05-01,CST_HQ,总部分摊,固定成本,9,6635.5,190847.15,0.034666666666667,0.0425,0.0489,0.0182,0.0489,0.034768661727461,0.0307,0.0064
夜市店,2026-05-01,CST_LBR,门店人工成本,半固定成本,9,34712.22000000001,190847.15,0.182444444444444,0.1801,0.1998,0.1663,0.1998,0.181884927283431,0.0335,0.0197
夜市店,2026-05-01,CST_PKG,包材成本,变动成本,9,2790.4700000000003,190847.15,0.014711111111111,0.0146,0.0165,0.0129,0.0165,0.014621491596809,0.0036,0.0019
夜市店,2026-05-01,CST_PLAT,平台抽佣,变动成本,9,14119.9,190847.15,0.074944444444444,0.0793,0.102,0.0378,0.102,0.073985385686923,0.0642,0.0227
夜市店,2026-05-01,CST_RAW,原材料成本,变动成本,9,71589.47,190847.15,0.377955555555556,0.3753,0.4192,0.35,0.4192,0.37511416858989,0.0692,0.0439
夜市店,2026-05-01,CST_RENT,房租物业,固定成本,9,15421.95,190847.15,0.080222222222222,0.0713,0.1133,0.0623,0.1133,0.080807861160096,0.051,0.042
夜市店,2026-05-01,CST_UTL,能耗水电气,半固定成本,9,6684.900000000001,190847.15,0.035111111111111,0.0341,0.0445,0.0242,0.0445,0.035027507615388,0.0203,0.0104
学校店,2026-02-01,CST_DEP,设备折旧摊销,固定成本,80,18078.289999999997,706618.53,0.0254825,0.0259,0.0292,0.0202,0.0299,0.025584228593609,0.0097,0.0033
学校店,2026-02-01,CST_HQ,总部分摊,固定成本,80,23350.749999999996,706618.53,0.0338025,0.041,0.0482,0.015,0.0495,0.033045765159881,0.0345,0.0072
学校店,2026-02-01,CST_LBR,门店人工成本,半固定成本,80,109637.60999999999,706618.53,0.15577625,0.1553,0.1665,0.1407,0.1699,0.155158130370569,0.0292,0.0112
学校店,2026-02-01,CST_PKG,包材成本,变动成本,80,10394.910000000005,706618.53,0.01465875,0.0146,0.0169,0.0109,0.0196,0.014710780369714,0.0087,0.0023
学校店,2026-02-01,CST_PLAT,平台抽佣,变动成本,80,50498.90000000001,706618.53,0.070345,0.0656,0.0983,0.0353,0.1331,0.071465575633857,0.0978,0.0327
学校店,2026-02-01,CST_RAW,原材料成本,变动成本,80,268239.61000000004,706618.53,0.3799275,0.3801,0.4096,0.3405,0.4196,0.379610212033358,0.0791,0.0295
学校店,2026-02-01,CST_RENT,房租物业,固定成本,80,93226.09999999998,706618.53,0.13116125,0.1296,0.1498,0.1012,0.1733,0.131932713397708,0.0721,0.0202
学校店,2026-02-01,CST_UTL,能耗水电气,半固定成本,80,19568.64,706618.53,0.0278575,0.0271,0.0353,0.0171,0.0461,0.027693358112191,0.029,0.0082
学校店,2026-03-01,CST_DEP,设备折旧摊销,固定成本,81,56505.43999999999,2252796.4299999997,0.025043209876543,0.0251,0.0288,0.02,0.0297,0.025082355088782,0.0097,0.0037
学校店,2026-03-01,CST_HQ,总部分摊,固定成本,81,75856.21999999997,2252796.4299999997,0.034153086419753,0.0408,0.0489,0.0151,0.0498,0.033672026016128,0.0347,0.0081
学校店,2026-03-01,CST_LBR,门店人工成本,半固定成本,81,349216.0900000001,2252796.4299999997,0.155764197530864,0.1564,0.1663,0.1417,0.1699,0.155014490146365,0.0282,0.0099
学校店,2026-03-01,CST_PKG,包材成本,变动成本,81,32659.73000000001,2252796.4299999997,0.014482716049383,0.0144,0.0164,0.0114,0.0173,0.014497417327672,0.0059,0.002
学校店,2026-03-01,CST_PLAT,平台抽佣,变动成本,81,156459.38,2252796.4299999997,0.069111111111111,0.0681,0.0865,0.046,0.1038,0.069451184277667,0.0578,0.0184
学校店,2026-03-01,CST_RAW,原材料成本,变动成本,81,857647.8599999999,2252796.4299999997,0.379865432098765,0.3782,0.4136,0.3402,0.4195,0.380703666154158,0.0793,0.0354
学校店,2026-03-01,CST_RENT,房租物业,固定成本,81,293313.69,2252796.4299999997,0.127959259259259,0.1274,0.1467,0.1005,0.1786,0.130199820140873,0.0781,0.0193
学校店,2026-03-01,CST_UTL,能耗水电气,半固定成本,81,64122.95,2252796.4299999997,0.02887037037037,0.0277,0.0391,0.0168,0.0457,0.028463712542371,0.0289,0.0114
学校店,2026-04-01,CST_DEP,设备折旧摊销,固定成本,85,58389.589999999975,2317511.559999999,0.025125882352941,0.0252,0.0293,0.0202,0.03,0.025194950915369,0.0098,0.0041
学校店,2026-04-01,CST_HQ,总部分摊,固定成本,85,76423.67999999995,2317511.559999999,0.032981176470588,0.0406,0.0468,0.015,0.0499,0.032976612207276,0.0349,0.0062
学校店,2026-04-01,CST_LBR,门店人工成本,半固定成本,85,360669.3199999999,2317511.559999999,0.155116470588235,0.1558,0.1671,0.1402,0.1698,0.155627840751741,0.0296,0.0113
学校店,2026-04-01,CST_PKG,包材成本,变动成本,85,33403.31,2317511.559999999,0.014505882352941,0.0144,0.0161,0.0118,0.0178,0.014413438351954,0.006,0.0017
学校店,2026-04-01,CST_PLAT,平台抽佣,变动成本,85,158852.82999999996,2317511.559999999,0.069530588235294,0.0697,0.0868,0.0362,0.1184,0.068544568554385,0.0822,0.0171
学校店,2026-04-01,CST_RAW,原材料成本,变动成本,85,877726.0800000001,2317511.559999999,0.379392941176471,0.38,0.413,0.3407,0.4192,0.378736440909059,0.0785,0.033
学校店,2026-04-01,CST_RENT,房租物业,固定成本,85,297950.0300000001,2317511.559999999,0.127237647058824,0.1233,0.1501,0.1003,0.1758,0.128564635940802,0.0755,0.0268
学校店,2026-04-01,CST_UTL,能耗水电气,半固定成本,85,67547.23,2317511.559999999,0.029327058823529,0.0292,0.0388,0.0166,0.0439,0.029146447925377,0.0273,0.0096
学校店,2026-05-01,CST_DEP,设备折旧摊销,固定成本,85,40301.880000000005,1645469.81,0.024687058823529,0.0245,0.0289,0.0201,0.0298,0.024492628035515,0.0097,0.0044
学校店,2026-05-01,CST_HQ,总部分摊,固定成本,85,54653.83000000001,1645469.81,0.03368,0.0408,0.0488,0.015,0.0499,0.0332147266804,0.0349,0.008
学校店,2026-05-01,CST_LBR,门店人工成本,半固定成本,85,254853.20000000007,1645469.81,0.155324705882353,0.1553,0.1672,0.1401,0.1697,0.154881723414907,0.0296,0.0119
学校店,2026-05-01,CST_PKG,包材成本,变动成本,85,23558.51999999999,1645469.81,0.01434,0.0143,0.0162,0.0117,0.0178,0.014317199778949,0.0061,0.0019
学校店,2026-05-01,CST_PLAT,平台抽佣,变动成本,85,110518.22,1645469.81,0.067182352941176,0.0645,0.0901,0.0362,0.106,0.067165145983444,0.0698,0.0256
学校店,2026-05-01,CST_RAW,原材料成本,变动成本,85,618976.87,1645469.81,0.377716470588235,0.3795,0.4091,0.3402,0.4187,0.376170298742825,0.0785,0.0296
学校店,2026-05-01,CST_RENT,房租物业,固定成本,85,219342.82000000004,1645469.81,0.130963529411765,0.1276,0.1543,0.1005,0.1771,0.133301029691939,0.0766,0.0267
学校店,2026-05-01,CST_UTL,能耗水电气,半固定成本,85,46677.10999999999,1645469.81,0.028842352941176,0.0281,0.0383,0.0176,0.0462,0.028367041264646,0.0286,0.0102
快取店,2026-02-01,CST_DEP,设备折旧摊销,固定成本,328,77777.23999999999,3105443.42,0.024982317073171,0.025,0.0287,0.02,0.0299,0.025045453895277,0.0099,0.0037
快取店,2026-02-01,CST_HQ,总部分摊,固定成本,328,101483.68999999996,3105443.42,0.032936890243902,0.0401,0.0483,0.0151,0.05,0.032679291255611,0.0349,0.0082
快取店,2026-02-01,CST_LBR,门店人工成本,半固定成本,328,309277.9399999999,3105443.4199999995,0.099200914634146,0.0984,0.1155,0.08,0.12,0.099592199300157,0.04,0.0171
快取店,2026-02-01,CST_PKG,包材成本,变动成本,328,49577.76999999998,3105443.4199999995,0.015985670731707,0.0158,0.0184,0.0118,0.0231,0.01596479577786,0.0113,0.0026
快取店,2026-02-01,CST_PLAT,平台抽佣,变动成本,328,274667.88,3105443.4199999995,0.088883841463415,0.0866,0.125,0.0327,0.1746,0.088447233728702,0.1419,0.0384
快取店,2026-02-01,CST_RAW,原材料成本,变动成本,328,1180680.5499999998,3105443.4199999995,0.379605792682927,0.379,0.4139,0.3402,0.42,0.380197089535123,0.0798,0.0349
快取店,2026-02-01,CST_RENT,房租物业,固定成本,328,264946.57000000007,3105443.42,0.084296036585366,0.0842,0.1074,0.05,0.1303,0.085316824094641,0.0803,0.0232
快取店,2026-02-01,CST_UTL,能耗水电气,半固定成本,328,71703.90000000001,3105443.42,0.023281097560976,0.0229,0.0302,0.0148,0.0337,0.023089746069178,0.0189,0.0073
