活动ID,活动名称,活动类型,业务日期,触达渠道,触达人次,查看人次,触达人数,打开率,触达后关联下单人数,触达后关联订单数,触达后关联GMV,归因窗口天数,归因规则,数据快照日期
CMP0016,私域专享-0402,私域专享,2026-05-06,企微1V1,22,11,22,0.5,2,2,65.4,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0038,拉新活动-0320,拉新活动,2026-02-21,企微1V1,29,18,29,0.62069,4,5,172,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0030,复购唤醒-0402,复购唤醒,2026-05-01,社群,15,9,15,0.6,2,4,144.4,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0030,复购唤醒-0402,复购唤醒,2026-03-21,社群,21,11,21,0.52381,1,1,37.8,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0012,节日活动-0416,节日活动,2026-05-02,企微1V1,19,13,19,0.684211,1,2,79,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0040,私域专享-0415,私域专享,2026-03-15,企微1V1,20,13,20,0.65,1,3,123.6,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0026,拉新活动-0313,拉新活动,2026-03-04,短信,3,2,3,0.666667,0,0,0,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0035,复购唤醒-0302,复购唤醒,2026-04-03,社群,29,11,29,0.37931,3,4,178.4,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0043,复购唤醒-0426,复购唤醒,2026-04-04,小程序消息,9,4,9,0.444444,1,3,138.9,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0005,新品上市-0424,新品上市,2026-03-30,企微1V1,21,14,21,0.666667,2,2,96,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0028,节日活动-0226,节日活动,2026-03-15,社群,20,14,20,0.7,2,3,93,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0043,复购唤醒-0426,复购唤醒,2026-04-16,朋友圈,11,7,11,0.636364,1,3,98.1,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0027,会员日-0305,会员日,2026-04-17,小程序消息,14,9,14,0.642857,1,1,34.4,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0041,拉新活动-0317,拉新活动,2026-05-14,小程序消息,14,4,14,0.285714,1,2,72.2,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0029,新品上市-0420,新品上市,2026-04-29,小程序消息,20,9,20,0.45,1,3,113.4,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0023,拉新活动-0313,拉新活动,2026-04-15,小程序消息,16,9,16,0.5625,1,1,39.5,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0047,新品上市-0403,新品上市,2026-02-20,视频号,2,1,2,0.5,0,0,0,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0011,私域专享-0326,私域专享,2026-05-16,视频号,6,3,6,0.5,1,3,128.7,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0022,节日活动-0219,节日活动,2026-02-24,短信,5,3,5,0.6,1,1,44.6,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0026,拉新活动-0313,拉新活动,2026-04-25,社群,24,11,24,0.458333,3,4,185.2,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0026,拉新活动-0313,拉新活动,2026-03-20,社群,23,11,23,0.478261,3,5,240,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0029,新品上市-0420,新品上市,2026-03-05,小程序消息,16,8,16,0.5,1,1,31,7,下单前最近一次有效触达；每订单唯一,2026-06-24
CMP0018,私域专享-0429,私域专享,2026-03-12,小程序消息,17,11,17,0.647059,1,2,65.4,7,下单前最近一次有效触达；每订单唯一,2026-06-24
