门店ID,加盟商ID,门店类型,签约日期,合同期年数,到期日,分成模型,续约状态,总投资额,可回收投资,不可回收投资,投资起始日,经营月数,累计营收,累计店面贡献利润,月均店面贡献利润,平均贡献利润率,累计回本率,预计完整回本月数,已开业月数,剩余回本月数,回本状态,预计完整回本日期,招商承诺回本月数,回本偏离度,回本风险等级,标杆门店标志,数据快照日期
S00133,F0059,学校店,2023-03-15,5,2028-03-13,固定加盟费+流水分成,未到期,915299,239208,676091,2023-03-15,4,112675.03999999998,25966.169999999987,6491.542499999997,0.24841636300787,0.028369,141,39,102,测算中,2034-12-15,20.0,121,严重,FALSE,2026-06-24
S00181,F0077,外卖卫星店,2024-08-08,3,2027-08-08,固定加盟费+流水分成,未到期,1420353,438594,981759,2024-08-08,4,58856.619999999995,13249.309999999998,3312.3274999999994,0.222574879219745,0.009328,429,22,407,测算中,2060-05-08,12.0,417,严重,FALSE,2026-06-24
S00237,F0094,社区店,2021-11-29,8,2029-11-27,固定加盟费+流水分成,未到期,1244998,391793,853205,2021-11-29,4,107139.55,23642.660000000007,5910.665000000002,0.218226211587804,0.01899,211,54,157,测算中,2039-06-29,18.0,193,严重,FALSE,2026-06-24
S00269,F0112,写字楼店,2022-06-19,8,2030-06-17,流水分成,未到期,1268729,563737,704992,2022-06-19,4,168860.40999999997,22628.63999999996,5657.15999999999,0.122521630547574,0.017836,225,48,177,测算中,2041-03-19,22.0,203,严重,FALSE,2026-06-24
S00429,F0049,快取店,2024-04-06,8,2032-04-04,固定加盟费+流水分成,未到期,895533,218722,676811,2024-04-06,4,78593.20999999999,25180.379999999997,6295.094999999999,0.328906634050873,0.028118,143,26,117,测算中,2036-03-06,15.0,128,严重,FALSE,2026-06-24
S00592,F0131,写字楼店,2025-03-09,3,2028-03-08,固定加盟费+流水分成,未到期,1327290,416702,910588,2025-03-09,4,140231.75000000003,21965.970000000027,5491.492500000007,0.167913330665851,0.016549,242,15,227,测算中,2045-05-09,22.0,220,严重,FALSE,2026-06-24
S00658,F0025,快取店,2023-05-17,3,2026-05-16,纯固定加盟费,已续约,1663133,339734,1323399,2023-05-17,4,106917.72,35730.21,8932.5525,0.33098264053982,0.021484,187,37,150,测算中,2038-12-17,15.0,172,严重,FALSE,2026-06-24
S00760,F0076,夜市店,2022-07-11,5,2027-07-10,固定加盟费+流水分成,未到期,1311903,318465,993438,2022-07-11,4,101219.4,23440.319999999996,5860.079999999999,0.221551413612589,0.017867,224,47,177,测算中,2041-03-11,18.0,206,严重,FALSE,2026-06-24
S00863,F0125,快取店,2022-11-11,8,2030-11-09,固定加盟费+流水分成,未到期,1624664,597461,1027203,2022-11-11,4,53195.09999999999,16383.939999999988,4095.984999999997,0.320824909848857,0.010085,397,43,354,测算中,2055-12-11,15.0,382,严重,FALSE,2026-06-24
S00925,F0007,写字楼店,2023-12-25,8,2031-12-23,固定加盟费+流水分成,未到期,1565982,338561,1227421,2023-12-25,4,101789.50999999998,16459.97999999998,4114.994999999995,0.165323360396524,0.010511,381,29,352,测算中,2055-09-25,22.0,359,严重,FALSE,2026-06-24
S00932,F0011,快取店,2023-02-04,8,2031-02-02,流水分成,未到期,974078,302218,671860,2023-02-04,4,91335.21,27863.230000000003,6965.807500000001,0.291608297056064,0.028605,140,40,100,测算中,2034-10-04,15.0,125,严重,FALSE,2026-06-24
S01024,F0048,写字楼店,2024-08-21,8,2032-08-19,流水分成,未到期,1405684,320518,1085166,2024-08-21,4,134462.72999999998,20174.66,5043.665,0.160853712304249,0.014352,279,22,257,测算中,2047-11-21,22.0,257,严重,FALSE,2026-06-24
S01083,F0084,写字楼店,2021-10-05,3,2024-10-04,固定加盟费+流水分成,已退出,1121229,566739,554490,2021-10-05,4,137402.22999999998,15291.00999999999,3822.7524999999973,0.121034892376453,0.013638,294,56,238,测算中,2046-04-05,22.0,272,严重,FALSE,2026-06-24
S01168,F0127,社区店,2026-01-09,5,2031-01-08,纯固定加盟费,未到期,838397,383958,454439,2026-01-09,3,42961.899999999994,9750.389999999992,3250.1299999999974,0.201418274123569,0.01163,258,5,253,测算中,2047-07-09,18.0,240,严重,FALSE,2026-06-24
S01183,F0135,写字楼店,2026-01-15,3,2029-01-14,固定加盟费+流水分成,未到期,1149246,315253,833993,2026-01-15,2,37493.96,3647.009999999999,1823.5049999999994,0.099238501025969,0.003173,631,5,626,测算中,2078-08-15,22.0,609,严重,FALSE,2026-06-24
S00019,F0010,快取店,2023-11-10,5,2028-11-08,固定加盟费+流水分成,未到期,1209054,551232,657822,2023-11-10,4,73666.65,22706.67,5676.6675,0.304184743159937,0.018781,213,31,182,测算中,2041-08-10,15.0,198,严重,FALSE,2026-06-24
S00051,F0025,快取店,2023-09-21,3,2026-09-20,流水分成,未到期,708760,254597,454163,2023-09-21,4,140840.34,45441.07000000002,11360.267500000005,0.31067255607645,0.064113,63,33,30,测算中,2028-12-21,15.0,48,严重,FALSE,2026-06-24
S00119,F0053,快取店,2023-10-25,8,2031-10-23,固定加盟费+流水分成,未到期,1229239,269988,959251,2023-10-25,4,71877.98999999999,20038.499999999996,5009.624999999999,0.289133913806439,0.016302,246,31,215,测算中,2044-04-25,15.0,231,严重,FALSE,2026-06-24
S00235,F0093,学校店,2021-03-04,8,2029-03-02,固定加盟费+流水分成,未到期,1310622,310263,1000359,2021-03-04,4,125679.99,27794.990000000013,6948.747500000003,0.228774058557456,0.021207,189,63,126,测算中,2036-12-04,20.0,169,严重,FALSE,2026-06-24
S00309,F0130,外卖卫星店,2024-04-06,5,2029-04-05,纯固定加盟费,未到期,1170821,237196,933625,2024-04-06,4,68794.04,13032.550000000001,3258.1375000000003,0.196127440651979,0.011131,360,26,334,测算中,2054-04-06,12.0,348,严重,FALSE,2026-06-24
S00344,F0009,写字楼店,2022-12-07,5,2027-12-06,固定加盟费+流水分成,未到期,1612819,574112,1038707,2022-12-07,4,105206.48000000001,15028.520000000006,3757.1300000000015,0.143320587784864,0.009318,430,42,388,测算中,2058-10-07,22.0,408,严重,FALSE,2026-06-24
S00380,F0023,写字楼店,2024-11-08,8,2032-11-06,固定加盟费+流水分成,未到期,1981761,651794,1329967,2024-11-08,4,120223.01,16386.099999999995,4096.524999999999,0.135319822449649,0.008268,484,19,465,测算中,2065-03-08,22.0,462,严重,FALSE,2026-06-24
S00406,F0038,快取店,2023-02-02,8,2031-01-31,固定加盟费+流水分成,未到期,1638270,323372,1314898,2023-02-02,4,66528.12999999999,20430.0,5107.5,0.297781538499284,0.01247,321,40,281,测算中,2049-11-02,15.0,306,严重,FALSE,2026-06-24
S00447,F0055,快取店,2025-02-23,3,2028-02-23,流水分成,未到期,1293804,330410,963394,2025-02-23,4,59857.28,17597.589999999997,4399.397499999999,0.289980850892992,0.013601,295,16,279,测算中,2049-09-23,15.0,280,严重,FALSE,2026-06-24
S00527,F0097,社区店,2021-03-03,8,2029-03-01,纯固定加盟费,未到期,976358,222463,753895,2021-03-03,4,66823.76,16967.33,4241.8325,0.24211188343179,0.017378,231,63,168,测算中,2040-06-03,18.0,213,严重,FALSE,2026-06-24
S00561,F0117,外卖卫星店,2023-09-09,3,2026-09-08,固定加盟费+流水分成,未到期,1539752,439501,1100251,2023-09-09,4,63087.81,12906.219999999998,3226.5549999999994,0.225269237834274,0.008382,478,33,445,测算中,2063-07-09,12.0,466,严重,FALSE,2026-06-24
S00637,F0014,快取店,2024-07-21,5,2029-07-20,流水分成,未到期,1192529,324739,867790,2024-07-21,4,67542.55,23620.119999999995,5905.029999999999,0.357143493024084,0.019807,202,23,179,测算中,2041-05-21,15.0,187,严重,FALSE,2026-06-24
S00700,F0047,学校店,2022-12-19,8,2030-12-17,固定加盟费+流水分成,未到期,1399958,280347,1119611,2022-12-19,4,83987.29000000001,16518.940000000002,4129.735000000001,0.193776281411883,0.0118,339,42,297,测算中,2051-03-19,20.0,319,严重,FALSE,2026-06-24
S00714,F0053,外卖卫星店,2024-03-09,8,2032-03-07,固定加盟费+流水分成,未到期,1654740,452340,1202400,2024-03-09,4,77774.38,16244.460000000003,4061.1150000000007,0.211156395938076,0.009817,408,27,381,测算中,2058-03-09,12.0,396,严重,FALSE,2026-06-24
S00735,F0061,社区店,2021-03-22,5,2026-03-21,固定加盟费+流水分成,已退出,1448137,415702,1032435,2021-03-22,4,65485.759999999995,14911.209999999994,3727.8024999999984,0.226836141904113,0.010297,389,63,326,测算中,2053-08-22,18.0,371,严重,FALSE,2026-06-24
S00831,F0108,商场店,2021-04-27,5,2026-04-26,纯固定加盟费,已续约,1046532,290739,755793,2021-04-27,4,163296.45999999996,4775.539999999978,1193.8849999999945,0.015699492414577,0.004563,877,61,816,测算中,2094-05-27,24.0,853,严重,FALSE,2026-06-24
S00880,F0132,写字楼店,2021-12-02,5,2026-12-01,流水分成,未到期,1001308,249825,751483,2021-12-02,4,166346.44000000003,14898.530000000012,3724.632500000003,0.098100660676677,0.014879,269,54,215,测算中,2044-05-02,22.0,247,严重,FALSE,2026-06-24
S00965,F0026,交通店,2023-11-28,5,2028-11-26,纯固定加盟费,未到期,1217006,545379,671627,2023-11-28,4,95976.29,2043.7999999999965,510.94999999999914,0.014518919801726,0.001679,2382,30,2352,测算中,2222-05-28,30.0,2352,严重,FALSE,2026-06-24
S00967,F0028,写字楼店,2022-10-19,5,2027-10-18,固定加盟费+流水分成,未到期,857538,233422,624116,2022-10-19,4,130287.94,18190.090000000007,4547.522500000002,0.148494375984669,0.021212,189,44,145,测算中,2038-07-19,22.0,167,严重,FALSE,2026-06-24
S00971,F0030,写字楼店,2025-05-20,3,2028-05-19,纯固定加盟费,未到期,1117885,535211,582674,2025-05-20,4,88778.71999999999,12597.699999999986,3149.4249999999965,0.149771800792984,0.011269,355,13,342,测算中,2054-12-20,22.0,333,严重,FALSE,2026-06-24
S01005,F0042,商场店,2024-01-23,3,2027-01-22,固定加盟费+流水分成,未到期,955473,272652,682821,2024-01-23,4,149671.15,4640.720000000004,1160.180000000001,0.024000054042413,0.004857,824,29,795,测算中,2092-09-23,24.0,800,严重,FALSE,2026-06-24
S01085,F0086,商场店,2023-04-17,8,2031-04-15,纯固定加盟费,未到期,947903,296150,651753,2023-04-17,4,138538.55000000005,-7706.539999999955,-1926.6349999999888,-0.05346280827718,-0.00813,,38,,当前不可测算,,24.0,,严重,FALSE,2026-06-24
S01105,F0093,快取店,2023-10-16,3,2026-10-15,固定加盟费+流水分成,未到期,973915,242910,731005,2023-10-16,4,35629.74,12440.009999999997,3110.002499999999,0.335242272587212,0.012773,314,32,282,测算中,2049-12-16,15.0,299,严重,FALSE,2026-06-24
S00113,F0050,快取店,2023-09-27,5,2028-09-25,固定加盟费+流水分成,未到期,758031,215959,542072,2023-09-27,4,91254.1,28184.860000000008,7046.215000000002,0.303475229699331,0.037182,108,32,76,测算中,2032-09-27,15.0,93,严重,FALSE,2026-06-24
S00128,F0057,商场店,2021-08-29,5,2026-08-28,流水分成,未到期,1722599,583116,1139483,2021-08-29,4,126683.70000000001,3963.76,990.94,0.02968520936602,0.002301,1739,57,1682,测算中,2166-07-29,24.0,1715,严重,FALSE,2026-06-24
S00135,F0060,快取店,2025-04-03,8,2033-04-01,流水分成,未到期,1458099,597902,860197,2025-04-03,4,83912.20999999998,26080.079999999987,6520.019999999997,0.321945397331894,0.017886,224,14,210,测算中,2043-12-03,15.0,209,严重,FALSE,2026-06-24
S00168,F0071,外卖卫星店,2023-04-23,3,2026-04-22,固定加盟费+流水分成,已续约,1650193,592745,1057448,2023-04-23,4,117137.83,25091.110000000004,6272.777500000001,0.217607632457494,0.015205,264,38,226,测算中,2045-04-23,12.0,252,严重,FALSE,2026-06-24
S00190,F0079,社区店,2023-12-02,8,2031-11-30,固定加盟费+流水分成,未到期,1236465,556600,679865,2023-12-02,4,88034.41999999998,22576.989999999994,5644.247499999999,0.247731230050629,0.018259,220,30,190,测算中,2042-04-02,18.0,202,严重,FALSE,2026-06-24
S00242,F0098,写字楼店,2022-08-01,8,2030-07-30,固定加盟费+流水分成,未到期,1154727,391344,763383,2022-08-01,4,131253.50000000003,18081.050000000017,4520.262500000004,0.137599137638738,0.015658,256,46,210,测算中,2043-12-01,22.0,234,严重,FALSE,2026-06-24
S00295,F0122,外卖卫星店,2022-11-15,5,2027-11-14,固定加盟费+流水分成,未到期,1522484,435231,1087253,2022-11-15,4,81495.35999999997,18049.169999999976,4512.292499999994,0.222944936181406,0.011855,338,43,295,测算中,2051-01-15,12.0,326,严重,FALSE,2026-06-24
S00303,F0127,学校店,2023-03-24,3,2026-03-23,固定加盟费+流水分成,已退出,1313905,278123,1035782,2023-03-24,4,93257.82999999999,23743.61,5935.9025,0.250907039902713,0.018071,222,39,183,测算中,2041-09-24,20.0,202,严重,FALSE,2026-06-24
S00313,F0133,外卖卫星店,2022-10-29,3,2025-10-28,固定加盟费+流水分成,已续约,1088673,248148,840525,2022-10-29,4,81956.93000000001,18720.920000000002,4680.2300000000005,0.227468238346254,0.017196,233,43,190,测算中,2042-03-29,12.0,221,严重,FALSE,2026-06-24
S00341,F0007,商场店,2023-10-11,5,2028-10-09,固定加盟费+流水分成,未到期,1096157,240121,856036,2023-10-11,4,119229.79999999997,9501.219999999976,2375.304999999994,0.086047475927363,0.008668,462,32,430,测算中,2062-04-11,24.0,438,严重,FALSE,2026-06-24
S00376,F0022,外卖卫星店,2022-12-27,8,2030-12-25,纯固定加盟费,未到期,1008119,283495,724624,2022-12-27,4,35900.73,9021.970000000005,2255.492500000001,0.255132457127584,0.008949,447,41,406,测算中,2060-03-27,12.0,435,严重,FALSE,2026-06-24
S00492,F0080,快取店,2021-12-26,3,2024-12-25,固定加盟费+流水分成,已续约,1126688,268047,858641,2021-12-26,4,54077.509999999995,15481.069999999992,3870.267499999998,0.285645696975639,0.01374,292,53,239,测算中,2046-04-26,15.0,277,严重,FALSE,2026-06-24
S00569,F0119,学校店,2022-02-12,3,2025-02-11,流水分成,已续约,936381,388508,547873,2022-02-12,4,48143.38,11011.329999999998,2752.8324999999995,0.224834332098573,0.011759,341,52,289,测算中,2050-07-12,20.0,321,严重,FALSE,2026-06-24
S00611,F0140,商场店,2022-12-26,3,2025-12-25,固定加盟费+流水分成,已退出,1400503,414046,986457,2022-12-26,4,90417.58,8866.570000000003,2216.642500000001,0.084579144665404,0.006331,632,41,591,测算中,2075-08-26,24.0,608,严重,FALSE,2026-06-24
S00614,F0141,快取店,2023-05-24,3,2026-05-23,固定加盟费+流水分成,未到期,1160646,389074,771572,2023-05-24,4,123298.62999999998,38447.979999999974,9611.994999999994,0.313256494674595,0.033126,121,37,84,测算中,2033-06-24,15.0,106,严重,FALSE,2026-06-24
S00622,F0006,外卖卫星店,2024-09-08,5,2029-09-07,流水分成,未到期,1925601,610265,1315336,2024-09-08,4,42659.71,7977.579999999997,1994.3949999999993,0.187384669840933,0.004143,966,21,945,测算中,2105-03-08,12.0,954,严重,FALSE,2026-06-24
S00636,F0013,外卖卫星店,2021-08-08,5,2026-08-07,流水分成,未到期,867831,221299,646532,2021-08-08,4,80170.13999999998,18391.04999999999,4597.762499999997,0.231401803494215,0.021192,189,58,131,测算中,2037-05-08,12.0,177,严重,FALSE,2026-06-24
S00640,F0016,写字楼店,2023-03-29,5,2028-03-27,纯固定加盟费,未到期,967029,245685,721344,2023-03-29,4,175646.45999999996,20419.249999999956,5104.812499999989,0.127389710888405,0.021115,190,38,152,测算中,2039-01-29,22.0,168,严重,FALSE,2026-06-24
S00709,F0050,商场店,2023-06-10,5,2028-06-08,纯固定加盟费,未到期,809235,263746,545489,2023-06-10,4,108167.28,6921.359999999991,1730.3399999999976,0.060316695693795,0.008553,468,36,432,测算中,2062-06-10,24.0,444,严重,FALSE,2026-06-24
S00811,F0099,商场店,2022-10-21,8,2030-10-19,固定加盟费+流水分成,未到期,878590,214795,663795,2022-10-21,4,115726.66000000002,8844.920000000016,2211.230000000004,0.08417323578102,0.010067,398,44,354,测算中,2055-12-21,24.0,374,严重,FALSE,2026-06-24
S00984,F0037,写字楼店,2024-01-01,8,2031-12-30,固定加盟费+流水分成,未到期,1581451,286926,1294525,2024-01-01,4,98024.51000000001,14064.69,3516.1725,0.135804806219264,0.008894,450,29,421,测算中,2061-07-01,22.0,428,严重,FALSE,2026-06-24
S01010,F0044,外卖卫星店,2024-10-18,8,2032-10-16,固定加盟费+流水分成,未到期,1016155,284964,731191,2024-10-18,4,94618.93,23492.999999999993,5873.249999999998,0.239403401704592,0.02312,174,20,154,测算中,2039-04-18,12.0,162,严重,FALSE,2026-06-24
S01032,F0052,社区店,2021-05-24,8,2029-05-22,固定加盟费+流水分成,未到期,1011208,237612,773596,2021-05-24,4,59116.71000000001,14396.450000000004,3599.112500000001,0.255661087076028,0.014237,281,61,220,测算中,2044-10-24,18.0,263,严重,FALSE,2026-06-24
S01034,F0053,学校店,2022-01-05,8,2030-01-03,流水分成,未到期,1340120,591663,748457,2022-01-05,4,110177.78,23228.420000000013,5807.105000000003,0.209259872610884,0.017333,231,53,178,测算中,2041-04-05,20.0,211,严重,FALSE,2026-06-24
S01061,F0070,社区店,2025-02-26,8,2033-02-24,固定加盟费+流水分成,未到期,1036844,540194,496650,2025-02-26,4,76698.01000000001,17282.040000000008,4320.510000000002,0.222572726737594,0.016668,240,15,225,测算中,2045-02-26,18.0,222,严重,FALSE,2026-06-24
S01066,F0074,快取店,2024-07-27,3,2027-07-27,固定加盟费+流水分成,未到期,1182429,293663,888766,2024-07-27,4,69514.68000000001,20295.770000000004,5073.942500000001,0.288913883726028,0.017164,234,22,212,测算中,2044-01-27,15.0,219,严重,FALSE,2026-06-24
S01197,F0001,写字楼店,2026-01-28,5,2031-01-27,固定加盟费+流水分成,未到期,1055258,311305,743953,2026-01-28,3,52719.36999999999,8693.139999999994,2897.7133333333313,0.174777286166246,0.008238,365,4,361,测算中,2056-06-28,22.0,343,严重,FALSE,2026-06-24
S00062,F0030,外卖卫星店,2022-03-15,3,2025-03-14,固定加盟费+流水分成,已退出,1455855,283258,1172597,2022-03-15,4,53675.23000000001,12182.510000000007,3045.627500000002,0.224625381538466,0.008368,479,51,428,测算中,2062-02-15,12.0,467,严重,FALSE,2026-06-24
S00159,F0068,外卖卫星店,2023-12-18,3,2026-12-17,固定加盟费+流水分成,未到期,1063352,407583,655769,2023-12-18,4,63470.41,13861.58,3465.395,0.218446752968793,0.013036,307,30,277,测算中,2049-07-18,12.0,295,严重,FALSE,2026-06-24
S00238,F0095,快取店,2021-12-03,5,2026-12-02,固定加盟费+流水分成,未到期,1300775,558842,741933,2021-12-03,4,100201.74,27823.74,6955.935,0.279894536014891,0.02139,188,54,134,测算中,2037-08-03,15.0,173,严重,FALSE,2026-06-24
S00245,F0100,快取店,2023-01-28,3,2026-01-27,固定加盟费+流水分成,已退出,1250190,261841,988349,2023-01-28,4,66504.34999999999,20819.43999999999,5204.859999999998,0.310397753203459,0.016653,241,40,201,测算中,2043-02-28,15.0,226,严重,FALSE,2026-06-24
S00302,F0126,商场店,2022-07-22,3,2025-07-21,流水分成,已退出,1098346,548092,550254,2022-07-22,4,114379.01999999999,5686.139999999991,1421.5349999999978,0.062899884013007,0.005177,773,47,726,测算中,2086-12-22,24.0,749,严重,FALSE,2026-06-24
S00369,F0019,交通店,2025-07-14,3,2028-07-13,流水分成,未到期,821310,221520,599790,2025-07-14,4,144839.30999999997,-14404.520000000033,-3601.1300000000083,-0.088715534615037,-0.017538,,11,,当前不可测算,,30.0,,严重,FALSE,2026-06-24
S00453,F0057,学校店,2024-01-28,3,2027-01-27,固定加盟费+流水分成,未到期,1256208,549370,706838,2024-01-28,4,63659.34999999999,13312.129999999994,3328.0324999999984,0.209404715803512,0.010597,378,28,350,测算中,2055-07-28,20.0,358,严重,FALSE,2026-06-24
S00517,F0092,快取店,2022-09-18,3,2025-09-17,固定加盟费+流水分成,已续约,1300572,564030,736542,2022-09-18,4,76756.44,23540.450000000004,5885.112500000001,0.298861320975911,0.0181,221,45,176,测算中,2041-02-18,15.0,206,严重,FALSE,2026-06-24
S00536,F0104,学校店,2023-07-18,3,2026-07-17,纯固定加盟费,未到期,1312112,262546,1049566,2023-07-18,4,91471.78000000001,18252.030000000002,4563.007500000001,0.193843678396171,0.01391,288,35,253,测算中,2047-07-18,20.0,268,严重,FALSE,2026-06-24
S00540,F0105,外卖卫星店,2023-07-01,8,2031-06-29,流水分成,未到期,958511,228601,729910,2023-07-01,4,38800.590000000004,8288.01,2072.0025,0.210561452697352,0.008647,463,35,428,测算中,2062-02-01,12.0,451,严重,FALSE,2026-06-24
S00548,F0111,外卖卫星店,2021-09-18,3,2024-09-17,纯固定加盟费,已续约,1014076,245507,768569,2021-09-18,4,65868.15,14991.099999999999,3747.7749999999996,0.220190090121947,0.014783,271,57,214,测算中,2044-04-18,12.0,259,严重,FALSE,2026-06-24
S00615,F0001,商场店,2022-11-15,3,2025-11-14,固定加盟费+流水分成,已退出,1160304,423046,737258,2022-11-15,4,80682.95,2162.2199999999975,540.5549999999994,0.029039932256087,0.001863,2147,43,2104,测算中,2201-10-15,24.0,2123,严重,FALSE,2026-06-24
S00683,F0036,写字楼店,2022-01-29,5,2027-01-28,纯固定加盟费,未到期,816275,269709,546566,2022-01-29,4,184351.86999999997,18799.289999999968,4699.822499999992,0.113627304384147,0.023031,174,52,122,测算中,2036-07-29,22.0,152,严重,FALSE,2026-06-24
S00689,F0040,写字楼店,2021-07-30,5,2026-07-29,流水分成,未到期,859552,215591,643961,2021-07-30,4,68856.86000000002,12081.830000000005,3020.4575000000013,0.169173980048548,0.014056,285,58,227,测算中,2045-04-30,22.0,263,严重,FALSE,2026-06-24
S00747,F0069,写字楼店,2021-12-17,8,2029-12-15,流水分成,未到期,850150,233352,616798,2021-12-17,4,69257.56999999998,9884.389999999989,2471.097499999997,0.138976929616776,0.011627,345,54,291,测算中,2050-09-17,22.0,323,严重,FALSE,2026-06-24
S00750,F0071,写字楼店,2021-06-16,8,2029-06-14,固定加盟费+流水分成,未到期,1039019,546664,492355,2021-06-16,4,81681.75999999998,11200.729999999992,2800.182499999998,0.137208320249994,0.01078,372,60,312,测算中,2052-06-16,22.0,350,严重,FALSE,2026-06-24
S00850,F0117,商场店,2021-05-11,8,2029-05-09,固定加盟费+流水分成,未到期,1110692,562089,548603,2021-05-11,4,128994.87999999998,7472.4699999999775,1868.1174999999944,0.055528354628072,0.006728,595,61,534,测算中,2070-12-11,24.0,571,严重,FALSE,2026-06-24
S01018,F0046,外卖卫星店,2024-03-23,5,2029-03-22,固定加盟费+流水分成,未到期,944373,296467,647906,2024-03-23,4,47785.81999999999,11000.509999999997,2750.127499999999,0.238100340314512,0.011648,344,27,317,测算中,2052-11-23,12.0,332,严重,FALSE,2026-06-24
S01031,F0051,社区店,2023-08-12,3,2026-08-11,固定加盟费+流水分成,未到期,1598223,586360,1011863,2023-08-12,4,42660.810000000005,10912.250000000005,2728.0625000000014,0.263757879171167,0.006828,586,34,552,测算中,2072-06-12,18.0,568,严重,FALSE,2026-06-24
S01075,F0080,写字楼店,2024-06-03,8,2032-06-01,固定加盟费+流水分成,未到期,1074356,279812,794544,2024-06-03,4,100770.62,13893.169999999986,3473.2924999999964,0.130866751496318,0.012932,310,24,286,测算中,2050-04-03,22.0,288,严重,FALSE,2026-06-24
S01189,F0139,快取店,2026-03-07,8,2034-03-05,纯固定加盟费,未到期,1120985,250421,870564,2026-03-07,1,6836.52,2120.4600000000005,2120.4600000000005,0.310166575977252,0.001892,529,3,526,测算中,2070-04-07,15.0,514,严重,FALSE,2026-06-24
S00002,F0002,快取店,2021-05-30,3,2024-05-29,流水分成,已退出,1621095,319147,1301948,2021-05-30,4,135013.45999999996,38926.059999999954,9731.514999999989,0.289827113570262,0.024012,167,60,107,测算中,2035-04-30,15.0,152,严重,FALSE,2026-06-24
S00029,F0015,商场店,2021-11-23,8,2029-11-21,固定加盟费+流水分成,未到期,1382943,412458,970485,2021-11-23,4,126532.59000000001,6831.610000000033,1707.9025000000083,0.06096689699334,0.00494,810,55,755,测算中,2089-05-23,24.0,786,严重,FALSE,2026-06-24
S00086,F0037,外卖卫星店,2023-09-18,8,2031-09-16,流水分成,未到期,872056,223557,648499,2023-09-18,4,59797.75,12529.99,3132.4975,0.208182748147691,0.014368,279,33,246,测算中,2046-12-18,12.0,267,严重,FALSE,2026-06-24
S00149,F0066,社区店,2025-05-20,5,2030-05-19,固定加盟费+流水分成,未到期,1199593,422582,777011,2025-05-20,4,107980.83999999997,23646.479999999967,5911.619999999992,0.223198196531679,0.019712,203,13,190,测算中,2042-04-20,18.0,185,严重,FALSE,2026-06-24
S00366,F0017,学校店,2022-12-11,3,2025-12-10,纯固定加盟费,已退出,1481796,352501,1129295,2022-12-11,4,139309.86000000002,29468.84000000002,7367.210000000005,0.21957505868279,0.019887,202,42,160,测算中,2039-10-11,20.0,182,严重,FALSE,2026-06-24
S00367,F0018,学校店,2024-11-01,3,2027-11-01,固定加盟费+流水分成,未到期,1403604,318863,1084741,2024-11-01,4,93807.43,22937.340000000007,5734.335000000002,0.234113341733048,0.016342,245,19,226,测算中,2045-04-01,20.0,225,严重,FALSE,2026-06-24
S00443,F0054,社区店,2023-04-15,8,2031-04-13,固定加盟费+流水分成,未到期,1283966,579551,704415,2023-04-15,4,60595.36,15314.980000000001,3828.7450000000003,0.239478749212733,0.011928,336,38,298,测算中,2051-04-15,18.0,318,严重,FALSE,2026-06-24
S00558,F0116,社区店,2025-05-22,8,2033-05-20,固定加盟费+流水分成,未到期,1640670,605594,1035076,2025-05-22,4,86200.44000000002,22824.740000000013,5706.185000000003,0.256848080376439,0.013912,288,13,275,测算中,2049-05-22,18.0,270,严重,FALSE,2026-06-24
S00596,F0134,社区店,2025-04-14,8,2033-04-12,固定加盟费+流水分成,未到期,1374575,412750,961825,2025-04-14,4,62530.19,17063.510000000002,4265.8775000000005,0.267104470562632,0.012414,323,14,309,测算中,2052-03-14,18.0,305,严重,FALSE,2026-06-24
S00625,F0009,外卖卫星店,2021-08-20,5,2026-08-19,流水分成,未到期,1197878,399354,798524,2021-08-20,4,65163.89000000001,15517.820000000012,3879.455000000003,0.241670318562768,0.012954,309,58,251,测算中,2047-05-20,12.0,297,严重,FALSE,2026-06-24
S00669,F0028,写字楼店,2023-09-19,5,2028-09-17,固定加盟费+流水分成,未到期,875239,216905,658334,2023-09-19,4,90287.38,14004.879999999994,3501.2199999999984,0.151462503539502,0.016001,250,33,217,测算中,2044-07-19,22.0,228,严重,FALSE,2026-06-24
S00723,F0057,外卖卫星店,2021-07-08,8,2029-07-06,流水分成,未到期,1037898,282124,755774,2021-07-08,4,93137.97,17436.38999999999,4359.097499999997,0.185723344406664,0.0168,239,59,180,测算中,2041-06-08,12.0,227,严重,FALSE,2026-06-24
S00748,F0070,写字楼店,2023-07-20,5,2028-07-18,固定加盟费+流水分成,未到期,787081,278810,508271,2023-07-20,4,120682.56999999996,22355.769999999968,5588.942499999992,0.178830344602592,0.028403,141,35,106,测算中,2035-04-20,22.0,119,严重,FALSE,2026-06-24
